ProduktID;Datum;PLZ;Einheiten;Umsatz;Land
326;2001-01-15;R3G;1;708,4875;Kanada
573;2001-01-15;L5R;1;280,6125;Kanada
725;2001-01-15;H1B;1;115,4475;Kanada
2235;2001-01-15;H1B;2;131,145;Kanada
713;2001-01-15;H1B;1;160,0725;Kanada
714;2001-01-15;H1B;1;160,0725;Kanada
726;2001-01-15;M4X;1;115,4475;Kanada
725;2001-01-15;M4X;1;115,4475;Kanada
727;2001-01-15;R3T;1;62,9475;Kanada
1182;2001-01-15;R3T;1;157,4475;Kanada
758;2001-01-15;R3T;1;83,9475;Kanada
739;2001-01-15;R3G;1;170,5725;Kanada
768;2001-01-15;R3G;1;104,9475;Kanada
725;2001-01-15;R3G;1;115,4475;Kanada
728;2001-01-15;R3G;1;62,9475;Kanada
757;2001-01-15;R3G;1;83,9475;Kanada
740;2001-01-15;R3G;1;170,5725;Kanada
604;2001-01-15;R3G;1;461,7375;Kanada
726;2001-01-15;R3G;1;115,4475;Kanada
758;2001-01-15;R3G;1;83,9475;Kanada
758;2001-01-15;M5P;1;83,9475;Kanada
1110;2001-01-15;M5P;1;209,9475;Kanada
663;2001-01-15;M5P;1;765,45;Kanada
727;2001-01-15;M5P;1;62,9475;Kanada
1109;2001-01-15;M5P;1;209,9475;Kanada
1120;2001-01-15;R3V;1;173,1975;Kanada
1990;2001-01-15;R3V;1;257,1975;Kanada
1426;2001-01-15;M5R;1;286,02;Kanada
1894;2001-01-15;M6G;1;682,2375;Kanada
2234;2001-01-15;M6G;1;65,5725;Kanada
475;2001-01-15;M6G;1;970,2;Kanada
1974;2001-01-15;R3S;1;52,4475;Kanada
2234;2001-01-15;R3N;1;65,5725;Kanada
2254;2001-01-15;R3N;1;57,6975;Kanada
2234;2001-01-15;L5P;2;131,145;Kanada
1517;2001-01-15;L5P;1;141,645;Kanada
491;2001-01-15;L5P;1;815,325;Kanada
2255;2001-01-15;M6H;2;115,395;Kanada
2254;2001-01-15;M6H;2;115,395;Kanada
604;2001-01-15;L5R;1;461,7375;Kanada
992;2001-01-15;L5R;1;288,6975;Kanada
609;2001-01-15;R3X;1;778,8375;Kanada
767;2001-01-15;R3X;1;104,9475;Kanada
631;2001-01-15;M7Y;1;346,2375;Kanada
1014;2001-01-15;M7Y;1;86,5725;Kanada
195;2001-01-15;M7Y;1;750,225;Kanada
768;2001-01-15;R3X;1;104,9475;Kanada
740;2001-01-15;M4V;1;170,5725;Kanada
1229;2001-01-15;M4V;1;236,1975;Kanada
838;2001-01-15;M4V;1;944,9475;Kanada
727;2001-01-15;R3H;1;68,1975;Kanada
604;2001-01-15;R3H;1;461,7375;Kanada
753;2001-01-15;R3H;1;244,0725;Kanada
758;2001-01-15;K1N;1;83,9475;Kanada
757;2001-01-15;K1N;1;83,9475;Kanada
599;2001-01-15;K1N;1;753,6375;Kanada
767;2001-01-15;R3W;1;104,9475;Kanada
768;2001-01-15;R3W;1;104,9475;Kanada
2234;2001-01-15;L5N;1;65,5725;Kanada
2234;2001-01-15;M5X;1;65,5725;Kanada
681;2001-01-15;M5X;1;629,7375;Kanada
1894;2001-01-15;L5N;1;682,2375;Kanada
1111;2001-01-15;M5X;1;116,4975;Kanada
1949;2001-01-15;K1R;1;296,5725;Kanada
1948;2001-01-15;K1R;1;296,5725;Kanada
1450;2001-01-15;K1R;1;118,02;Kanada
645;2001-01-15;M6G;1;746,55;Kanada
725;2001-01-15;K1R;1;115,4475;Kanada
727;2001-01-15;K1Y;2;125,895;Kanada
739;2001-01-15;M4V;1;170,5725;Kanada
754;2001-01-15;R3H;1;244,0725;Kanada
1112;2001-01-15;M5X;1;116,4975;Kanada
1188;2001-01-15;M6G;1;472,4475;Kanada
1518;2001-01-15;L5P;1;141,645;Kanada
1961;2001-01-15;R3S;1;97,0725;Kanada
2056;2001-01-15;R2W;1;325,4475;Kanada
2070;2001-01-15;L5P;1;519,6975;Kanada
2235;2001-01-15;L5N;1;65,5725;Kanada
2235;2001-01-15;M6G;1;65,5725;Kanada
609;2001-01-15;M5P;2;1557,675;Kanada
609;2001-01-15;M7Y;1;778,8375;Kanada
726;2001-01-15;H1B;1;115,4475;Kanada
727;2001-01-15;R3G;1;62,9475;Kanada
728;2001-01-15;R3H;1;68,1975;Kanada
728;2001-01-15;R3T;1;62,9475;Kanada
728;2001-01-15;M5P;1;62,9475;Kanada
757;2001-01-15;R3T;1;83,9475;Kanada
757;2001-01-15;M5P;1;83,9475;Kanada
767;2001-01-15;M5A;1;104,9475;Kanada
862;2001-01-15;R3B;1;304,4475;Kanada
1109;2001-01-15;R3R;1;209,9475;Kanada
1425;2001-01-15;M5R;1;286,02;Kanada
1975;2001-01-15;R3S;1;52,4475;Kanada
2056;2001-01-15;H1B;1;325,4475;Kanada
396;2001-01-15;V6Z;1;857,0625;Kanada
604;2001-01-15;T6K;1;461,7375;Kanada
1080;2001-01-15;V6B;1;262,4475;Kanada
1111;2001-01-15;V5W;1;116,4975;Kanada
1490;2001-01-15;T3R;1;262,395;Kanada
2234;2001-01-15;V6G;1;65,5725;Kanada
2255;2001-01-15;V6E;1;57,6975;Kanada
769;2001-01-15;V5V;1;257,1975;Kanada
796;2001-01-15;V5Z;1;275,5725;Kanada
797;2001-01-15;V6M;1;301,8225;Kanada
962;2001-01-15;T1Y;1;524,9475;Kanada
1003;2001-01-15;T3G;1;86,5725;Kanada
1066;2001-01-15;T2T;1;296,5725;Kanada
1079;2001-01-15;V6B;1;262,4475;Kanada
2234;2001-01-15;V6T;1;65,5725;Kanada
2235;2001-01-15;V6G;1;65,5725;Kanada
2255;2001-01-15;V7M;1;57,6975;Kanada
2388;2001-01-15;R2P;1;309,6975;Kanada
604;2001-01-15;T6S;1;461,7375;Kanada
631;2001-01-15;T6T;1;346,2375;Kanada
725;2001-01-15;T2X;1;115,4475;Kanada
769;2001-01-15;V6H;1;257,1975;Kanada
1014;2001-01-15;V6T;1;86,5725;Kanada
1014;2001-01-15;R2G;1;86,5725;Kanada
1949;2001-01-15;R2G;1;296,5725;Kanada
2234;2001-01-15;V5W;1;65,5725;Kanada
2254;2001-01-15;V6M;1;57,6975;Kanada
2255;2001-01-15;V5Y;1;57,6975;Kanada
433;2001-01-15;T6E;1;804,3;Kanada
491;2001-01-15;T6R;1;815,325;Kanada
606;2001-01-15;T6T;1;314,7375;Kanada
645;2001-01-15;T6R;1;746,55;Kanada
683;2001-01-15;T5G;1;788,025;Kanada
713;2001-01-15;V6T;1;160,0725;Kanada
2235;2001-01-15;V6E;1;65,5725;Kanada
396;2001-01-15;V6G;1;857,0625;Kanada
510;2001-01-15;T2J;1;837,1125;Kanada
726;2001-01-15;T2X;1;115,4475;Kanada
726;2001-01-15;V6Z;2;230,895;Kanada
728;2001-01-15;T3C;1;62,9475;Kanada
758;2001-01-15;V6M;1;83,9475;Kanada
758;2001-01-15;V6Z;1;83,9475;Kanada
767;2001-01-15;T2R;1;104,9475;Kanada
767;2001-01-15;T5V;1;104,9475;Kanada
768;2001-01-15;R2G;1;104,9475;Kanada
1046;2001-01-15;T5J;1;99,6975;Kanada
491;2001-01-15;K1R;1;815,325;Kanada
2235;2001-01-15;L4Y;1;65,5725;Kanada
606;2001-01-15;M5L;1;314,7375;Kanada
396;2001-01-15;M5L;2;1714,125;Kanada
1173;2001-01-15;L5G;1;524,9475;Kanada
1449;2001-01-15;M6S;1;118,02;Kanada
491;2001-01-15;K1Y;1;815,325;Kanada
683;2001-01-15;R3B;1;788,025;Kanada
797;2001-01-15;R3M;1;301,8225;Kanada
599;2001-01-15;L5T;1;753,6375;Kanada
768;2001-01-15;M5A;1;104,9475;Kanada
1046;2001-01-15;L5J;1;99,6975;Kanada
1110;2001-01-15;R3R;1;209,9475;Kanada
645;2001-01-15;T6T;2;1493,1;Kanada
725;2001-01-15;V6Z;2;230,895;Kanada
727;2001-01-15;T3C;1;62,9475;Kanada
757;2001-01-15;V6M;1;83,9475;Kanada
757;2001-01-15;V6Z;1;83,9475;Kanada
758;2001-01-15;V7Y;1;83,9475;Kanada
767;2001-01-15;R2G;1;104,9475;Kanada
768;2001-01-15;T5V;1;104,9475;Kanada
768;2001-01-15;T6V;1;104,9475;Kanada
838;2001-01-15;T6E;1;929,1975;Kanada
1112;2001-01-15;V5W;1;116,4975;Kanada
2045;2001-01-15;T2P;1;409,4475;Kanada
2056;2001-01-15;V7Y;1;325,4475;Kanada
2254;2001-01-15;V5Y;1;57,6975;Kanada
2254;2001-01-15;V6E;1;57,6975;Kanada
2282;2001-01-15;V5Z;1;304,4475;Kanada
491;2001-01-15;V5W;1;815,325;Kanada
491;2001-01-15;V5Z;1;815,325;Kanada
573;2001-01-15;V7P;1;280,6125;Kanada
609;2001-01-15;T2Y;1;778,8375;Kanada
683;2001-01-15;V6C;1;788,025;Kanada
714;2001-01-15;V6T;1;160,0725;Kanada
